日付,摘要,入金,出金,残高
2026-03-01,自動定額振替（本体口座より）,"120,000",,120000
2026-03-01,家賃振込,,"38,000",82000
2026-03-01,共益費,,"9,000",73000
2026-03-01,給食費,,"35,000",38000
2026-03-04,VISA デビット ウエルシア 品川店,,"980",37020
2026-03-06,VISA デビット セブンイレブン 品川駅前店,,720,36300
2026-03-09,VISA デビット 調剤薬局 日本調剤,,"3,200",33100
2026-03-11,NHK受信料,,"2,170",30930
2026-03-14,VISA デビット ダイソー 品川店,,330,30600
2026-03-17,VISA デビット ローソン 品川港南店,,450,30150
2026-03-19,Choice100 出張理美容,,"3,500",26650
2026-03-21,VISA デビット マツモトキヨシ 品川店,,"1,650",25000
2026-03-24,VISA デビット セブンイレブン 品川駅前店,,580,24420
2026-03-27,VISA デビット タクシー 日本交通,,"2,200",22220
